source_id,category_id,category,title,rank,data_quality,domain,source_type,url,urls,format,cost,period,brief_description,highlighted_comment,notes,access_level,connection_mode,dashboard_use,status
HS001,A,"Official port & maritime statistics (baseline, benchmarking)",DfT / GOV.UK – Port & domestic waterborne freight stats (PORT tables; includes ship arrivals tables like PORT0601/0602),5,,Hinterland Transport,Downloadable table,https://www.gov.uk/government/statistical-data-sets/port-and-domestic-waterborne-freight-statistics-port,https://www.gov.uk/government/statistical-data-sets/port-and-domestic-waterborne-freight-statistics-port,ODS (OpenDocument Spreadsheet).,Free (Open Government Licence).,Quarterly data available from 2009 to present (latest update covers up to September 2025).,"A comprehensive repository of statistical data tables from the UK Department for Transport. It details the international and domestic movement of freight by water, including total port traffic, cargo types, major routes, ship arrivals, and vessel flags.",This is a primary official source for UK maritime logistics.,"The data is provided in ODS format rather than standard Excel/CSV, which may require conversion for certain data pipelines.",L0 public/open,Scheduled file import,Road/rail access monitoring and disruption explanation,Catalogued
HS002,A,"Official port & maritime statistics (baseline, benchmarking)",DfT – Maritime Statistics Dashboard (interactive maps & comparisons),4,,Hinterland Transport,Downloadable table,https://maps.dft.gov.uk/maritime-statistics/index.html,https://maps.dft.gov.uk/maritime-statistics/index.html,Interactive Web Dashboard (HTML/Visual).,Free.,Annual data (visualizes trends over recent years).,"An interactive web-based dashboard and map that visualizes the movement of goods through UK ports. It illustrates global shipping routes, domestic traffic flows, and port-specific throughput volumes.","It is for Visualization Only. This tool is excellent for taking screenshots to visually represent trade routes or port density in your document, but it is not suitable for extracting raw data.",,L0 public/open,Scheduled file import,Road/rail access monitoring and disruption explanation,Catalogued
HS003,B,Port disruptions / congestion / delays (crisis situational signals),ArcGIS Experience – Simulation Details (interactive/JS view),5,,GIS / Network,GIS data,https://experience.arcgis.com/experience/4b45b594fd8a4c0eb553d1d42d17f75f/page/Simulation-Details/?views=COUNTRY-LEVEL-IMPACT%2C30-days-#data_s=id%3AdataSource_15-0%3A940,https://experience.arcgis.com/experience/4b45b594fd8a4c0eb553d1d42d17f75f/page/Simulation-Details/?views=COUNTRY-LEVEL-IMPACT%2C30-days-#data_s=id%3AdataSource_15-0%3A940,,,,,,,L1 review required,GIS file/layer import,"Base network layer, routing context, spatial exposure map",Catalogued
HS004,C,Tides / sea level / coastal conditions / flood risk (environmental drivers),"Environment Agency – Flood-monitoring API reference (warnings, levels, flows, stations)",4,,Weather / Flood,API,https://environment.data.gov.uk/flood-monitoring/doc/reference,https://environment.data.gov.uk/flood-monitoring/doc/reference,JSON (via REST API).,Free (Open Government Licence).,Real-time (updated every 15 minutes) with access to recent historical readings (typically rolling ~28 days via API).,"The official technical documentation for the UK Environment Agency's REST API. It allows developers to programmatically fetch real-time data on flood warnings, river levels, rainfall, and groundwater levels across England.","Technical/Developer Resource. This is the ""raw feed"" used to build automated risk models. It is powerful if you are building a dynamic system (e.g., ""Alert port operators if river levels exceed X meters""), but it requires coding skills (Python/R) to use.",,L0 public/open,API connector,"Crisis trigger, weather window, flood-risk signal",Catalogued
HS005,D,Weather & severe weather warnings (crisis triggers + forecasting),Met Office – Weather DataHub (observations/forecasts & API products entry),4,,Weather / Flood,API,https://datahub.metoffice.gov.uk/,https://datahub.metoffice.gov.uk/,"API (JSON/XML), GRIB (Gridded Binary for models), GeoJSON.",Freemium. (Basic access is free; high-resolution/high-frequency commercial data requires a paid subscription).,Extensive Historical archives (decades) + Real-time + Future forecasts.,"The official data portal for the UK’s National Weather Service. It provides developer access to weather observations, site-specific forecasts, global model data, and climate records.","The Gold Standard for Weather Data. This is the authoritative source for atmospheric conditions (wind speed, visibility, precipitation) that affect maritime operations. Essential for modelling weather-related port disruptions (e.g., determining when wind speeds force crane stoppages).",,L1 restricted/registered,API connector,"Crisis trigger, weather window, flood-risk signal",Catalogued
HS006,D,Weather & severe weather warnings (crisis triggers + forecasting),Met Office – NSWWS Public API (machine-readable severe weather warnings),4,,Weather / Flood,API,https://metoffice.github.io/nswws-public-api/,https://metoffice.github.io/nswws-public-api/ | https://www.bigschedules.com/,"JSON, RSS.",Free (Open Government Licence).,Real-time (Current active warnings) and Forecast (up to 7 days ahead).,"The technical documentation for the API that delivers the UK's official severe weather warnings. It allows systems to automatically retrieve current and future alerts (Yellow, Amber, Red) for hazards like wind, rain, snow, ice, and fog.","The ""Trigger"" for Disruption Models. This is the specific data source that defines official ""extreme"" conditions. Use this data to define the threshold for when a port should stop operations in your model (e.g., ""If Wind Warning = Amber, reduce capacity by 50%"").",,L1 restricted/registered,API connector,"Crisis trigger, weather window, flood-risk signal",Catalogued
HS007,E,Hinterland access – road traffic & network conditions (connectivity + congestion),National Highways – WebTRIS Traffic Flow API (Swagger UI),5,3,Hinterland Transport,API,https://webtris.highwaysengland.co.uk/api/swagger/ui/index,https://webtris.highwaysengland.co.uk/api/swagger/ui/index,API and spreadsheet.,Free.,Updated in real time,"Provides daily availability and traffic flow reports for the National Highways network, collected via roadside sites and sensors.","The minimum temporal resolution is 15 minutes, which is highly useful for understanding road congestion conditions in the Liverpool region.",Some sensor data are missing or unavailable.,L0 public/open,API connector,Road/rail access monitoring and disruption explanation,Catalogued
HS008,E,Hinterland access – road traffic & network conditions (connectivity + congestion),National Highways Developer Portal – Home (API subscriptions & services),4,5,Hinterland Transport,API,https://developer.data.nationalhighways.co.uk/,https://developer.data.nationalhighways.co.uk/,,,,,,,L1 restricted/registered,API connector,Road/rail access monitoring and disruption explanation,Catalogued
HS009,E,Hinterland access – road traffic & network conditions (connectivity + congestion),National public transport access nodes,5,5,GIS / Network,Downloadable table,https://www.gov.uk/government/publications/national-public-transport-access-node-schema,https://www.gov.uk/government/publications/national-public-transport-access-node-schema,Downloaded spreadsheet.,Public data,Not a time series dataset; updates depend on local authorities,"Contains information on transport access nodes, such as ferry terminals, railway stations, depots, and other key interchange points.",Useful for understanding the transport network structure in the Liverpool region and for identifying critical nodes.,Some nodes have not been updated in a while and require verification.,L0 public/open,Scheduled file import,"Base network layer, routing context, spatial exposure map",Catalogued
HS010,F,Hinterland access – rail freight + real-time rail running feeds,Network Rail – Open data feeds (overview),5,4,Hinterland Transport,Metadata / web page,https://www.networkrail.co.uk/who-we-are/transparency-and-ethics/transparency/open-data-feeds/,https://www.networkrail.co.uk/who-we-are/transparency-and-ethics/transparency/open-data-feeds/,,,,,,,L0 public/open,Manual metadata review,Road/rail access monitoring and disruption explanation,Catalogued
